Municipality Name,County, Total,,,,,,,,,,,,,,,
East Newark borough,Hudson,7804031,,,,,,,,,,,,,,,
East Orange city,Essex,249216556,,,,,,,,,,,,,,,
East Rutherford borough,Bergen,195593361,,,,,,,,,,,,,,,
East Windsor township,Mercer,238489540,,,,,,,,,,,,,,,
Eastampton township,Burlington,35747735,,,,,,,,,,,,,,,
Eatontown borough,Monmouth,234781714,,,,,,,,,,,,,,,
Edgewater borough,Bergen,88555531,,,,,,,,,,,,,,,
Edgewater Park township,Burlington,54598160,,,,,,,,,,,,,,,
Edison township,Middlesex,1119929841,,,,,,,,,,,,,,,
Elizabeth city,Union,1301629756,,,,,,,,,,,,,,,
Elk township,Gloucester,37855610,,,,,,,,,,,,,,,
Elmwood Park borough,Bergen,184104886,,,,,,,,,,,,,,,
Emerson borough,Bergen,54577546,,,,,,,,,,,,,,,
Englewood city,Bergen,209626312,,,,,,,,,,,,,,,
Englewood Cliffs borough,Bergen,70387621,,,,,,,,,,,,,,,
Englishtown borough,Monmouth,17791486,,,,,,,,,,,,,,,
Essex Fells borough,Essex,9038618,,,,,,,,,,,,,,,
Evesham township,Burlington,350172970,,,,,,,,,,,,,,,
Ewing township,Mercer,319977615,,,,,,,,,,,,,,,
Fair Haven borough,Monmouth,24753173,,,,,,,,,,,,,,,
Fair Lawn borough,Bergen,258693360,,,,,,,,,,,,,,,
Fairfield township,Essex,267236588,,,,,,,,,,,,,,,
Fairview borough,Bergen,59031542,,,,,,,,,,,,,,,
Fanwood borough,Union,36522568,,,,,,,,,,,,,,,
Far Hills borough,Somerset,10924833,,,,,,,,,,,,,,,
Farmingdale borough,Monmouth,31746525,,,,,,,,,,,,,,,
Fieldsboro borough,Burlington,4586225,,,,,,,,,,,,,,,
Flemington borough,Hunterdon,152085885,,,,,,,,,,,,,,,
Florence township,Burlington,134981380,,,,,,,,,,,,,,,
Florham Park borough,Morris,232202234,,,,,,,,,,,,,,,
Fort Lee borough,Bergen,236314418,,,,,,,,,,,,,,,
Frankford township,Sussex,58676125,,,,,,,,,,,,,,,
Franklin borough,Sussex,62452314,,,,,,,,,,,,,,,
Franklin Lakes borough,Bergen,152966127,,,,,,,,,,,,,,,
Franklin township,Gloucester,140213290,,,,,,,,,,,,,,,
Franklin township,Hunterdon,38214185,,,,,,,,,,,,,,,
Franklin township,Somerset,564290245,,,,,,,,,,,,,,,
Franklin township,Warren,20177713,,,,,,,,,,,,,,,
Fredon township,Sussex,31018433,,,,,,,,,,,,,,,
Freehold borough,Monmouth,92947511,,,,,,,,,,,,,,,
Freehold township,Monmouth,471652329,,,,,,,,,,,,,,,
Frelinghuysen township,Warren,11065866,,,,,,,,,,,,,,,
Frenchtown borough,Hunterdon,14256676,,,,,,,,,,,,,,,
Garfield city,Bergen,176813666,,,,,,,,,,,,,,,
Garwood borough,Union,33968946,,,,,,,,,,,,,,,
Gibbsboro borough,Camden,27766280,,,,,,,,,,,,,,,
Glassboro borough,Gloucester,182928145,,,,,,,,,,,,,,,
Glen Gardner borough,Hunterdon,11412039,,,,,,,,,,,,,,,
Glen Ridge borough,Essex,21014955,,,,,,,,,,,,,,,
Glen Rock borough,Bergen,63758258,,,,,,,,,,,,,,,
Gloucester City city,Camden,82535990,,,,,,,,,,,,,,,
Gloucester township,Camden,477310865,,,,,,,,,,,,,,,
