Municipality Name,County, Total,,,,,,,,,,,,,,,
Tinton Falls borough,Monmouth,215379333,,,,,,,,,,,,,,,
Toms River township,Ocean,737314796,,,,,,,,,,,,,,,
Totowa borough,Passaic,166790738,,,,,,,,,,,,,,,
Trenton city,Mercer,629828305,,,,,,,,,,,,,,,
Tuckerton borough,Ocean,29596659,,,,,,,,,,,,,,,
Union Beach borough,Monmouth,63282952,,,,,,,,,,,,,,,
Union City city,Hudson,162555420,,,,,,,,,,,,,,,
Union township,Hunterdon,34720636,,,,,,,,,,,,,,,
Union township,Union,501666263,,,,,,,,,,,,,,,
Upper Freehold township,Monmouth,47953632,,,,,,,,,,,,,,,
Upper Saddle River borough,Bergen,77397612,,,,,,,,,,,,,,,
Vernon township,Sussex,206721739,,,,,,,,,,,,,,,
Verona township,Essex,76773651,,,,,,,,,,,,,,,
Victory Gardens borough,Morris,9008751,,,,,,,,,,,,,,,
Voorhees township,Camden,261780555,,,,,,,,,,,,,,,
Waldwick borough,Bergen,76984921,,,,,,,,,,,,,,,
Wall township,Monmouth,308339672,,,,,,,,,,,,,,,
Wallington borough,Bergen,75732602,,,,,,,,,,,,,,,
Walpack township,Sussex,49367,,,,,,,,,,,,,,,
Wanaque borough,Passaic,94072336,,,,,,,,,,,,,,,
Wantage township,Sussex,79403544,,,,,,,,,,,,,,,
Warren township,Somerset,177156942,,,,,,,,,,,,,,,
Washington borough,Warren,41564954,,,,,,,,,,,,,,,
Washington township,Bergen,51842277,,,,,,,,,,,,,,,
Washington township,Burlington,8504500,,,,,,,,,,,,,,,
Washington township,Gloucester,415508700,,,,,,,,,,,,,,,
Washington township,Morris,112888584,,,,,,,,,,,,,,,
Washington township,Warren,55207505,,,,,,,,,,,,,,,
Watchung borough,Somerset,78223652,,,,,,,,,,,,,,,
Waterford township,Camden,81718390,,,,,,,,,,,,,,,
Wayne township,Passaic,554417608,,,,,,,,,,,,,,,
Weehawken township,Hudson,59073929,,,,,,,,,,,,,,,
Wenonah borough,Gloucester,15257365,,,,,,,,,,,,,,,
West Amwell township,Hunterdon,26522990,,,,,,,,,,,,,,,
West Caldwell township,Essex,132522071,,,,,,,,,,,,,,,
West Deptford township,Gloucester,212270860,,,,,,,,,,,,,,,
West Long Branch borough,Monmouth,92878869,,,,,,,,,,,,,,,
West Milford township,Passaic,192073735,,,,,,,,,,,,,,,
West New York town,Hudson,121459920,,,,,,,,,,,,,,,
West Orange township,Essex,278656906,,,,,,,,,,,,,,,
West Windsor township,Mercer,409809955,,,,,,,,,,,,,,,
Westampton township,Burlington,115672880,,,,,,,,,,,,,,,
Westfield town,Union,180286277,,,,,,,,,,,,,,,
Pleasantville,Atlantic,180286277,,,,,,,,,,,,,,,
Westville borough,Gloucester,33055860,,,,,,,,,,,,,,,
Westwood borough,Bergen,79284944,,,,,,,,,,,,,,,
Wharton borough,Morris,74735176,,,,,,,,,,,,,,,
White township,Warren,31594995,,,,,,,,,,,,,,,
Willingboro township,Burlington,183972045,,,,,,,,,,,,,,,
Wildwood,Cape May, 31620315,,,,,,,,,,,,,,,
Winfield township,Union,5982113,,,,,,,,,,,,,,,
Winslow township,Camden,308833800,,,,,,,,,,,,,,,
Woodbridge township,Middlesex,901823687,,,,,,,,,,,,,,,
Woodbury city,Gloucester,106157330,,,,,,,,,,,,,,,
Woodbury Heights borough,Gloucester,31620315,,,,,,,,,,,,,,,
Woodcliff Lake borough,Bergen,60446421,,,,,,,,,,,,,,,
Woodland Park borough,Passaic,81845130,,,,,,,,,,,,,,,
Woodland township,Burlington,12858220,,,,,,,,,,,,,,,
Woodlynne borough,Camden,9850255,,,,,,,,,,,,,,,
Wood-Ridge borough,Bergen,51250318,,,,,,,,,,,,,,,
Woolwich township,Gloucester,118242845,,,,,,,,,,,,,,,
Wrightstown borough,Burlington,63068715,,,,,,,,,,,,,,,
Wyckoff township,Bergen,139318822,,,,,,,,,,,,,,,
